"","GO:0098596","GO:0098720","GO:1990000","GO:0007497","GO:0003429","GO:2000348","GO:0009201","GO:0045774","GO:0014877","GO:0030241"
"GO:0098596",1,0.033,0.042,0.088,0.03,0.036,0.02,0.022,0.098,0.023
"GO:0098720",0.033,1,0.071,0.042,0.038,0.071,0.043,0.049,0.038,0.046
"GO:1990000",0.042,0.071,1,0.052,0.038,0.076,0.183,0.227,0.046,0.179
"GO:0007497",0.088,0.042,0.052,1,0.171,0.046,0.031,0.031,0.083,0.13
"GO:0003429",0.03,0.038,0.038,0.171,1,0.04,0.019,0.026,0.036,0.125
"GO:2000348",0.036,0.071,0.076,0.046,0.04,1,0.045,0.126,0.226,0.049
"GO:0009201",0.02,0.043,0.183,0.031,0.019,0.045,1,0.102,0.028,0.025
"GO:0045774",0.022,0.049,0.227,0.031,0.026,0.126,0.102,1,0.066,0.076
"GO:0014877",0.098,0.038,0.046,0.083,0.036,0.226,0.028,0.066,1,0.029
"GO:0030241",0.023,0.046,0.179,0.13,0.125,0.049,0.025,0.076,0.029,1
